School Name,Latitude,Longitude,Curriculum,Grades,Year Established in Dubai,2023/24 Enrollments,Average Tuition,Max Tuition
The International School of Choueifat,25.10718155,55.17162323,SABIS (UK/US),Pre Primary-G12,1994,3954,29850.71429,40944
The International School of Choueifat (Branch),24.983802,55.15553,SABIS (UK/US),Pre Primary-G12,2012,2985,35676.14286,48927
The Millenium School,25.286631,55.367103,Indian,Pre Primary-G12,2000,2756,22352.53333,26259
The National Charity School for Boys,55.34629059,25.23852921,Ministry of Education,G5-G12,2021,1478,6695.125,8457
The National Charity School For Girls,25.23852158,55.34583282,Ministry of Education,G5-G12,1984,1461,6054.75,8457
The Philippine School,25.26163852,55.41830298,Philippine,KG1-G12,2008,2498,9276.714286,15920
The School of Reseach Science US High School L.L.C,25.20030022,55.43939972,American,G9-G12,2020,814,62076.5,68431
The School of Research Science L.L.C,25.20108218,55.43928898,UK,FS1-Y13,2003,3259,51827.93333,77958
The Sheffield Private School L.L.C,25.293372,55.385719,UK,FS1-Y13,2004,1166,31153.06667,43540
The Westminster School - DUBAI BRANCH,25.283053,55.370633,UK,FS1-Y13,1988,5222,12486.8,17302
The Winchester School - DUBAI BRANCH,25.040094,55.120922,UK,FS1-Y13,2003,4308,21292.6,32586
United International Private School L.L.C,25.27739716,55.40872955,Philippine,KG1-G12,1992,1824,7873.928571,11990
Universal American School - Branch,25.2214222,55.36548996,US/IB,Pre Primary-G12,2005,1233,65733.53333,79955
Uptown International School,25.217987,55.423622,International Baccalaureate,Pre Primary-G12,2012,1368,78149.6,94246
Vernus International Primary School - FZCO,25.12363052,55.40246964,American,Pre Primary -G5,2020,250,37701.75,41445
Victory Heights Primary School L.L.C,25.035175,55.222477,UK,FS1-Y6,2012,1020,47682.75,53476
Woodlem Park School L.L.C,25.282245,55.370429,Indian,Pre-primary-G10,2014,2727,18060,23598
